X1,X2,X3,X4
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0.111111111,1,0.04
1,0.225806452,0.958333333,0.233333333
1,0,0.958333333,0
1,0.111111111,0.958333333,0.041666667
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0.04,1,0.04
1,0.076923077,1,0.04
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0.04,1,0.04
1,0.04,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,0.958333333,0
1,0.04,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0.04,0.958333333,0
1,0,0.958333333,0
1,0,1,0
1,0.04,0.958333333,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0.958333333,0
1,0.04,1,0.04
1,0,0.958333333,0
1,0,1,0
1,0.04,1,0
0.979591837,0,0.93877551,0
1,0.209677419,1,0.183333333
1,0.346666667,1,0.337837838
1,0.363636364,1,0.3
1,0,0.93877551,0
1,0,0.959183673,0
0.959183673,0,0.93877551,0
1,0,0.979591837,0
1,0.268656716,1,0.246153846
1,0,0.918367347,0
1,0.289855072,1,0.279411765
0.93877551,0,0.857142857,0
1,0.246153846,0.979591837,0.25
1,0.319444444,1,0.169491525
1,0,1,0
0.897959184,0,0.836734694,0
1,0.355263158,0.979591837,0.28358209
1,0,0.93877551,0
1,0.319444444,0.979591837,0.272727273
1,0,0.959183673,0
0.897959184,0,0.816326531,0
1,0.379746835,1,0.379746835
0.93877551,0,0.87755102,0
1,0,1,0
1,0,0.979591837,0
1,0,0.93877551,0
1,0.363636364,1,0.346666667
1,0,0.93877551,0
1,0.222222222,1,0.183333333
0.93877551,0,0.897959184,0
1,0,1,0
1,0.363636364,1,0.355263158
1,0,0.93877551,0
1,0,1,0
1,0.379746835,1,0.379746835
1,0.395061728,1,0.3
1,0,0.979591837,0
1,0.328767123,1,0.319444444
1,0,0.979591837,0
0.897959184,0,0.857142857,0
0.979591837,0,0.93877551,0
0.979591837,0,0.897959184,0
0.979591837,0,0.897959184,0
1,0.3875,1,0.3875
1,0.289855072,1,0.279411765
1,0,0.918367347,0
0.93877551,0,0.836734694,0
0.918367347,0,0.857142857,0
0.979591837,0,0.918367347,0
0.979591837,0,0.959183673,0
1,0,0.918367347,0
1,0,0.87755102,0
0.897959184,0,0.857142857,0
0.755102041,0,0.734693878,0
1,0.319444444,1,0.319444444
0.93877551,0,0.857142857,0
1,0,0.979591837,0
0.979591837,0,0.857142857,0
1,0.328767123,1,0.268656716
0.979591837,0,0.87755102,0
1,0.371794872,1,0.319444444
0.93877551,0,0.87755102,0
0.918367347,0,0.816326531,0
0.87755102,0,0.836734694,0
1,0,1,0
0.918367347,0,0.857142857,0
1,0,0.959183673,0
1,0.355263158,1,0.319444444
0.959183673,0,0.816326531,0
1,0.337837838,1,0.289855072
1,0.355263158,1,0.309859155
0.93877551,0,0.857142857,0
1,0.409638554,1,0.395061728
1,0.3875,1,0.379746835
1,0,0.918367347,0
